ID,Athlete_ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
2631,1476,Mehdi Aidet,M,26,172,65,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

43060,22207,Sebastian Newbold Seb' Coe',M,23,175,54,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,Silver

199292,100089,Anatoliy Volodymyrovych Reshetniak,M,25,187,75,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

96573,48896,Kenneth Hlasa,M,25,170,67,Lesotho,LES,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

179489,90192,Stephen Michael John Steve' Ovett',M,24,183,70,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,Gold

101301,51219,Khaled Hussain Mahmoud,M,21,160,50,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

151830,76197,James Jimmy' Massallay',M,27,175,60,Sierra Leone,SLE,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

90850,46030,Derradji Harek,M,20,175,63,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

